article_id,article_url,category,ranking_mode,resolver_mode,human_correct,system_name,match,human_level,system_level,level_match,human_city,system_city,city_match,system_postal,elapsed_s
1,https://yle.fi/a/74-20205687,Traffic and Street Work,postal_first,static,Kelloniemi,Kelloniemi,1,POSTAL,POSTAL,1,Kuopio,Kuopio,1,Kelloniemi,55.91
2,https://yle.fi/a/74-20207386,Local News,postal_first,static,Olari,Espoo,0,Espoo,CITY,0,,Espoo,0,,34.06
3,https://yle.fi/a/74-20207342,Local News,postal_first,static,Joensuu,Joensuu,1,CITY,CITY,1,,Joensuu,0,,49.22
4,https://yle.fi/a/74-20207144,Local News,postal_first,static,Tšetšenia,Moskova,0,PROVINCE,CITY,0,,Moskova,0,,77.98
5,https://yle.fi/a/74-20208736,Authority Info,postal_first,static,Islamabad,Islamabad,1,CITY,CITY,1,,Islamabad,0,,27.82
6,https://yle.fi/a/74-20206770,Local News,postal_first,static,Tampere,Tampere,1,CITY,CITY,1,,Tampere,0,,25.48
7,https://yle.fi/a/74-20206479,Culture and Music,postal_first,static,Kuopio,Kuopio,1,CITY,CITY,1,,Kuopio,0,,48.1
8,https://yle.fi/a/74-2020802,Local News,postal_first,static,Porvoo,Porvoo,1,CITY,CITY,1,,Porvoo,0,,80.63
9,https://yle.fi/a/74-20208091,Culture and Music,postal_first,static,Jyväskylä,Jyväskylä,1,CITY,CITY,1,,Jyväskylä,0,,26
10,https://yle.fi/a/74-20208791,Local News,postal_first,static,Pasila,Pasila,1,Helsinki,POSTAL,0,,Helsinki,0,240,34.32
11,https://yle.fi/a/74-20209945,Sports and Fitness,postal_first,static,Kuopio,Kuopio,1,CITY,CITY,1,,Kuopio,0,,19.85
12,https://yle.fi/a/74-20211696,Sports and Fitness,postal_first,static,Milano,Italy,0,CITY,COUNTRY,0,,,0,,27.28
13,https://yle.fi/a/74-20211498,City or Municipality,postal_first,static,Vaarala,Vaarala,1,POSTAL,POSTAL,1,Vaanta,Vantaa,0,1230,43.68
14,https://yle.fi/a/74-20211815,Sports and Fitness,postal_first,static,Lappeenranta,Lappeenranta,1,CITY,CITY,1,,Lappeenranta,0,,38.99
15,https://yle.fi/a/74-20211684,Traffic and Street Work,postal_first,static,Suomi,Finland,0,COUNTRY,COUNTRY,1,,,0,,10.69
16,https://yle.fi/a/74-20017262,City or Municipality,postal_first,static,Oulu,Oulu,1,CITY,CITY,1,,Oulu,0,,19.73
17,https://yle.fi/a/74-20048640,City or Municipality,postal_first,static,Oulu,Oulu,1,CITY,CITY,1,,Oulu,0,,65.51
18,https://yle.fi/a/3-5409509,Culture and Music,postal_first,static,Lahti,Lahti,1,CITY,CITY,1,,Lahti,0,,19.54
