article_id,article_url,category,ranking_mode,resolver_mode,human_correct,system_name,match,human_level,system_level,level_match,human_city,system_city,city_match,system_postal,elapsed_s
1,https://yle.fi/a/74-20205687,Traffic and Street Work,postal_first,geoapi,Kelloniemi,Kelloniemi,1,POSTAL,POSTAL,1,Kuopio,Kuopio,1,70460,23.49
2,https://yle.fi/a/74-20207386,Local News,postal_first,geoapi,Olari,Länsi-Uusimaa hyvinvointialue,0,Espoo,POSTAL,0,,Helsinki,0,660,17.74
3,https://yle.fi/a/74-20207342,Local News,postal_first,geoapi,Joensuu,Joensuu,1,CITY,CITY,1,,Joensuu,0,,14.87
4,https://yle.fi/a/74-20207144,Local News,postal_first,geoapi,Tšetšenia,Moskova,0,PROVINCE,POSTAL,0,,Loimaa,0,32200,30.32
5,https://yle.fi/a/74-20208736,Authority Info,postal_first,geoapi,Islamabad,Isis,0,CITY,CITY,1,,Isis,0,,17.65
6,https://yle.fi/a/74-20206770,Local News,postal_first,geoapi,Tampere,Tampere,1,CITY,CITY,1,,Tampere,0,,10.42
7,https://yle.fi/a/74-20206479,Culture and Music,postal_first,geoapi,Kuopio,Kuopio,1,CITY,CITY,1,,Kuopio,0,,22.71
8,https://yle.fi/a/74-2020802,Local News,postal_first,geoapi,Porvoo,Porvoo,1,CITY,CITY,1,,Porvoo,0,,29.61
9,https://yle.fi/a/74-20208091,Culture and Music,postal_first,geoapi,Jyväskylä,Jyväskylä,1,CITY,CITY,1,,Jyväskylä,0,,12.22
10,https://yle.fi/a/74-20208791,Local News,postal_first,geoapi,Pasila,Pasila,1,Helsinki,POSTAL,0,,Helsinki,0,,15.66
11,https://yle.fi/a/74-20209945,Sports and Fitness,postal_first,geoapi,Kuopio,Kuopio,1,CITY,CITY,1,,Kuopio,0,,8.56
12,https://yle.fi/a/74-20211696,Sports and Fitness,postal_first,geoapi,Milano,Milan,0,CITY,CITY,1,,Milan,0,,17.91
13,https://yle.fi/a/74-20211498,City or Municipality,postal_first,geoapi,Vaarala,Vaarala,1,POSTAL,POSTAL,1,Vaanta,Vantaa,0,1230,23.45
14,https://yle.fi/a/74-20211815,Sports and Fitness,postal_first,geoapi,Lappeenranta,Lappeenranta,1,CITY,CITY,1,,Lappeenranta,0,,18.94
15,https://yle.fi/a/74-20211684,Traffic and Street Work,postal_first,geoapi,Suomi,Finland,0,COUNTRY,COUNTRY,1,,,0,,6.69
16,https://yle.fi/a/74-20017262,City or Municipality,postal_first,geoapi,Oulu,Oulu,1,CITY,CITY,1,,Oulu,0,,11.41
17,https://yle.fi/a/74-20048640,City or Municipality,postal_first,geoapi,Oulu,Kontiomäki,0,CITY,POSTAL,0,,Kontiomäki,0,88470,41.85
18,https://yle.fi/a/3-5409509,Culture and Music,postal_first,geoapi,Lahti,Lahti,1,CITY,CITY,1,,Lahti,0,,9.98
19,https://yle.fi/a/74-20211457,Culture and Music,postal_first,geoapi,Lappeenranta,Lappeenranta,1,CITY,CITY,1,,Lappeenranta,0,,12.91
20,https://yle.fi/a/74-20210581,City or Municipality,postal_first,geoapi,Seinäjoki,Pohja,0,CITY,POSTAL,0,,Seinäjoki,0,60120,27.86
21,https://yle.fi/a/74-20203626,Authority Info,postal_first,geoapi,Rovaniemi,Rovaniemi,1,CITY,CITY,1,,Rovaniemi,0,,8.3
22,https://yle.fi/a/74-20133978,Traffic and Street Work,postal_first,geoapi,Maunula,Maunula,1,POSTAL,POSTAL,1,Helsinki,Helsinki,1,630,7.52
23,https://yle.fi/a/74-20159710,Traffic and Street Work,postal_first,geoapi,Eskolanmäki,Rekola,0,POSTAL,POSTAL,1,Kuopio,Kouvola,0,45740,6.87
24,https://yle.fi/a/74-20134982,Authority Info,postal_first,geoapi,Pääskyvuori,Pääskyvuori,1,POSTAL,POSTAL,1,Turku,Turku,1,,9.08
25,https://yle.fi/a/74-20116936,City or Municipality,postal_first,geoapi,Sörnäinen,Helsinki,0,POSTAL,CITY,0,Helsinki,Helsinki,1,,25.68
26,https://yle.fi/a/74-20183616,Authority Info,postal_first,geoapi,Hietalahti,Hietalahti,1,POSTAL,POSTAL,1,Helsinki,Parikkala,0,,13.85
27,https://yle.fi/a/74-20197628,City or Municipality,postal_first,geoapi,Hiltulanlahti,Hiltulanlahti,1,POSTAL,POSTAL,1,Kuopio,Kuopio,1,70870,13.6
28,https://yle.fi/a/74-20152114,Local News,postal_first,geoapi,Suulisniemi,Kotka,0,POSTAL,CITY,0,Kotka,Kotka,1,,14.55
29,https://yle.fi/a/74-20187030,City or Municipality,postal_first,geoapi,Sammonlahti,Sammonlahti,1,POSTAL,POSTAL,1,Lappeenranta,Lappeenranta,1,53810,15.98
30,https://yle.fi/a/74-20075992,Traffic and Street Work,postal_first,geoapi,Turku,Turku,1,CITY,CITY,1,,Turku,0,,21
31,https://yle.fi/a/74-20003640,Local News,postal_first,geoapi,Hietaniemi,Hedenäset,0,POSTAL,CITY,0,Helsinki,Hedenäset,0,,16.67
32,https://yle.fi/a/74-20181807,Authority Alerts,postal_first,geoapi,Lassila,Ruotsi,0,POSTAL,POSTAL,1,Helsinki,Enonkoski,0,,19.32
33,https://poliisi.fi/-/mantyharjulta-anastettu-klapikone,Authority Alerts,postal_first,geoapi,Mäntyharju,Mäntyharju,1,CITY,CITY,1,,Mäntyharju,0,,6.01
34,https://www.lohja.fi/muut-uutiset/lohja-yrityspitovoimatutkimus-2021/,City or Municipality,postal_first,geoapi,Lohja,Lohja,1,CITY,CITY,1,,Lohja,0,,11.39
35,https://www.aamulehti.fi/musiikki/art-2000009238759.html,Culture and Music,postal_first,geoapi,Vesilahti,Laukko kartano,0,CITY,POSTAL,0,,Lahti,0,,7.52
36,https://poliisi.fi/-/poliisi-tutkii-tapon-yritysta-raumalla,Authority Info,postal_first,geoapi,Rauma,Rauma,1,CITY,CITY,1,,Rauma,0,,10.87
37,https://poliisi.fi/-/poliisi-harjoittelee-kaitaan-metroasemalla-espoossa-30.3,Authority Info,postal_first,geoapi,Kaitaa,Kaitaa,1,POSTAL,POSTAL,1,Espoo,Espoo,1,2260,7.22
